"","a1","b1","c1","d1","e1","a2","b2","c2","d2","e2","test_m"
"1037",13,90,3e+07,270,1,4,3,3,3,2,0.465158125565289
"1038",20,90,3e+07,270,1,4,3,3,3,2,0.463941349108626
"1057",13,90,0,180,1,2,4,3,3,2,0.463165151595857
"1058",20,90,0,180,1,2,4,3,3,2,0.462875039403369
"1061",13,90,3e+07,180,1,2,4,3,3,2,0.46376319519998
"1062",20,90,3e+07,180,1,2,4,3,3,2,0.461971705374652
"1065",13,90,0,270,1,2,4,3,3,2,0.463365003089356
"1066",20,90,0,270,1,2,4,3,3,2,0.462403421386874
"1069",13,90,3e+07,270,1,2,4,3,3,2,0.463078759074887
"1070",20,90,3e+07,270,1,2,4,3,3,2,0.463030269936904
"1089",13,90,0,180,1,3,4,3,3,2,0.466570287527536
"1090",20,90,0,180,1,3,4,3,3,2,0.467361697691959
"1093",13,90,3e+07,180,1,3,4,3,3,2,0.46705924452296
"1094",20,90,3e+07,180,1,3,4,3,3,2,0.46399130065405
"1097",13,90,0,270,1,3,4,3,3,2,0.469115968988307
"1098",20,90,0,270,1,3,4,3,3,2,0.464501634883609
"1101",13,90,3e+07,270,1,3,4,3,3,2,0.466718929340091
"1102",20,90,3e+07,270,1,3,4,3,3,2,0.465442716098999
"1121",13,90,0,180,1,4,4,3,3,2,0.464585546802806
"1122",20,90,0,180,1,4,4,3,3,2,0.463482482776261
"1125",13,90,3e+07,180,1,4,4,3,3,2,0.467486037128202
"1126",20,90,3e+07,180,1,4,4,3,3,2,0.465969988412334
"1129",13,90,0,270,1,4,4,3,3,2,0.468431196673747
"1130",20,90,0,270,1,4,4,3,3,2,0.462731948511888
"1133",13,90,3e+07,270,1,4,4,3,3,2,0.470754119066991
"1134",20,90,3e+07,270,1,4,4,3,3,2,0.461737937021637
"1153",13,90,0,180,1,2,2,2,2,3,0.465806109096206
"1154",20,90,0,180,1,2,2,2,2,3,0.466906047568701
"1157",13,90,3e+07,180,1,2,2,2,2,3,0.466645443226069
"1158",20,90,3e+07,180,1,2,2,2,2,3,0.465543124182906
"1161",13,90,0,270,1,2,2,2,2,3,0.466056937105718
"1162",20,90,0,270,1,2,2,2,2,3,0.466087494235044
"1165",13,90,3e+07,270,1,2,2,2,2,3,0.466072378772463
"1166",20,90,3e+07,270,1,2,2,2,2,3,0.465825175232354
"1185",13,90,0,180,1,3,2,2,2,3,0.469985241804999
"1186",20,90,0,180,1,3,2,2,2,3,0.468172677057121
"1189",13,90,3e+07,180,1,3,2,2,2,3,0.469233911132504
"1190",20,90,3e+07,180,1,3,2,2,2,3,0.467397614236741
"1193",13,90,0,270,1,3,2,2,2,3,0.469921697935351
"1194",20,90,0,270,1,3,2,2,2,3,0.46870385912502
"1197",13,90,3e+07,270,1,3,2,2,2,3,0.469188041928933
"1198",20,90,3e+07,270,1,3,2,2,2,3,0.468734339644939
"1217",13,90,0,180,1,4,2,2,2,3,0.473374308823883
"1218",20,90,0,180,1,4,2,2,2,3,0.465555117031781
"1221",13,90,3e+07,180,1,4,2,2,2,3,0.468845068397822
"1222",20,90,3e+07,180,1,4,2,2,2,3,0.465837815737081
"1225",13,90,0,270,1,4,2,2,2,3,0.467149499198056
"1226",20,90,0,270,1,4,2,2,2,3,0.46779174360933
"1229",13,90,3e+07,270,1,4,2,2,2,3,0.467597166823358
"1230",20,90,3e+07,270,1,4,2,2,2,3,0.465844227332203
"1249",13,90,0,180,1,2,3,2,2,3,0.467271910130912
"1250",20,90,0,180,1,2,3,2,2,3,0.465921857655485
"1253",13,90,3e+07,180,1,2,3,2,2,3,0.468283694734976
"1254",20,90,3e+07,180,1,2,3,2,2,3,0.465622489791111
"1257",13,90,0,270,1,2,3,2,2,3,0.467230068360688
"1258",20,90,0,270,1,2,3,2,2,3,0.466471726568164
"1261",13,90,3e+07,270,1,2,3,2,2,3,0.467288874434761
"1262",20,90,3e+07,270,1,2,3,2,2,3,0.466440227543364
"1281",13,90,0,180,1,3,3,2,2,3,0.469885236807317
"1282",20,90,0,180,1,3,3,2,2,3,0.469706206237473
"1285",13,90,3e+07,180,1,3,3,2,2,3,0.471308340119234
"1286",20,90,3e+07,180,1,3,3,2,2,3,0.469235465172217
"1289",13,90,0,270,1,3,3,2,2,3,0.469954163823612
"1290",20,90,0,270,1,3,3,2,2,3,0.468560289597909
"1293",13,90,3e+07,270,1,3,3,2,2,3,0.470494892753074
"1294",20,90,3e+07,270,1,3,3,2,2,3,0.468779934923215
"1313",13,90,0,180,1,4,3,2,2,3,0.467903970830223
"1314",20,90,0,180,1,4,3,2,2,3,0.466214334249483
"1317",13,90,3e+07,180,1,4,3,2,2,3,0.467755333252177
"1318",20,90,3e+07,180,1,4,3,2,2,3,0.466635608293411
"1321",13,90,0,270,1,4,3,2,2,3,0.467153633246715
"1322",20,90,0,270,1,4,3,2,2,3,0.467180647798371
"1325",13,90,3e+07,270,1,4,3,2,2,3,0.466489025113553
"1326",20,90,3e+07,270,1,4,3,2,2,3,0.468670314859263
"1345",13,90,0,180,1,2,4,2,2,3,0.465854983504829
"1346",20,90,0,180,1,2,4,2,2,3,0.465815773908258
"1349",13,90,3e+07,180,1,2,4,2,2,3,0.465742527406559
"1350",20,90,3e+07,180,1,2,4,2,2,3,0.466120901495321
"1353",13,90,0,270,1,2,4,2,2,3,0.464975817325062
"1354",20,90,0,270,1,2,4,2,2,3,0.466251052603417
"1357",13,90,3e+07,270,1,2,4,2,2,3,0.466085025478949
"1358",20,90,3e+07,270,1,2,4,2,2,3,0.465949667314589
"1377",13,90,0,180,1,3,4,2,2,3,0.469769264881275
"1378",20,90,0,180,1,3,4,2,2,3,0.468093269776697
"1381",13,90,3e+07,180,1,3,4,2,2,3,0.467036378282741
"1382",20,90,3e+07,180,1,3,4,2,2,3,0.468021524480803
"1385",13,90,0,270,1,3,4,2,2,3,0.471230912746925
"1386",20,90,0,270,1,3,4,2,2,3,0.467812581777091
"1389",13,90,3e+07,270,1,3,4,2,2,3,0.469322439200973
"1390",20,90,3e+07,270,1,3,4,2,2,3,0.467375665484599
"1409",13,90,0,180,1,4,4,2,2,3,0.468273455585869
"1410",20,90,0,180,1,4,4,2,2,3,0.465531266219892
"1413",13,90,3e+07,180,1,4,4,2,2,3,0.467599023784805
"1414",20,90,3e+07,180,1,4,4,2,2,3,0.464716532814262
"1417",13,90,0,270,1,4,4,2,2,3,0.465792633094925
"1418",20,90,0,270,1,4,4,2,2,3,0.46560367389473
