"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"57",6.4,4e+07,2,120,1,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",236,1628,1283,16,4.30406509320417,1,1
"58",8.2,6e+07,12,120,1,2,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",300,552,583,38,4.45434729625351,1,1
"59",7.4,0,5,90,1,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",810,720,2269,17,3.8286413964891,1,1
"60",6.8,0,9,60,1,3,"0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",59,281,967,9,3.3322045101752,1,1
"61",8,0,3,90,2,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1601,2210,2929,31,3.71357206670431,0,0
"62",7.4,2.2e+07,6,150,5,3,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0",1822,925,600,33,4.83628190695148,0,1
"63",7.8,2.2e+07,9,120,2,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1159,2193,2663,31,4.27666611901606,1,1
"64",7.2,1.2e+08,11,90,1,3,"0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1543,1077,53,16,3.8286413964891,1,1
"65",6,0,4,60,1,3,"0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",1796,392,529,16,3.58351893845611,1,1
"66",6.1,0,11,90,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",984,1638,2118,13,3.85014760171006,0,1
"67",6,0,12,90,2,3,"0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0",1923,564,2504,13,4.15888308335967,1,1
