"","duration_minutes","genre_drama","total_number_of_actors","genre_action","genre_documentary","genre_horror","genre_comedy","genre_family","genre_filmnoir","genre_animation","budget","budget_duration","main_actor1_is_female","duration_genres","budget_genres","short_duration","release_month","genre_musical","genre_war","action_budget","budget_language","duration_actors","genre_biography","total_number_of_spoken_languages","war_budget","imdbRating"
"411",90,1,17,1,0,0,0,0,0,0,5e+07,4.5e+09,0,270,1.5e+08,0,"4",0,0,5e+07,5e+07,1530,0,1,0,6.5
"412",120,0,35,0,0,0,0,0,0,0,4.9e+07,5.88e+09,0,240,9.8e+07,0,"3",0,0,0,4.9e+07,4200,0,1,0,6.9
"413",90,1,20,0,0,0,0,0,0,0,2960000,266400000,0,180,5920000,0,"8",0,0,0,5920000,1800,1,2,0,6.9
"414",90,1,7,0,0,0,0,0,0,0,0,0,0,180,0,0,"7",0,1,0,0,630,0,1,0,6.4
"415",120,0,18,1,0,0,0,0,0,0,3.5e+07,4.2e+09,0,240,7e+07,0,"6",0,0,3.5e+07,7e+07,2160,0,2,0,7.6
"416",60,0,12,1,0,0,0,0,0,1,0,0,0,180,0,0,"3",0,0,0,0,720,0,2,0,7.2
"417",120,1,113,1,0,0,0,0,0,0,1.5e+08,1.8e+10,0,360,4.5e+08,0,"6",0,0,1.5e+08,4.5e+08,13560,0,3,0,8.3
"418",60,0,20,1,0,0,0,0,0,1,0,0,0,180,0,0,"12",0,0,0,0,1200,0,1,0,7.8
"419",120,0,17,1,0,0,0,0,0,0,1e+08,1.2e+10,0,360,3e+08,0,"5",0,0,1e+08,1e+08,2040,0,1,0,5.4
"420",120,0,11,1,0,0,0,0,0,0,8e+07,9.6e+09,0,240,1.6e+08,0,"6",0,0,8e+07,8e+07,1320,0,1,0,7
"421",60,0,20,1,0,0,0,0,0,1,3500000,2.1e+08,0,180,10500000,0,"7",0,0,3500000,17500000,1200,0,5,0,6.9
"422",60,0,22,1,0,0,0,0,0,1,0,0,0,180,0,0,"7",0,0,0,0,1320,0,1,0,8
"423",90,0,15,1,0,0,1,0,0,0,2e+06,1.8e+08,0,270,6e+06,0,"9",0,0,2e+06,2e+06,1350,0,1,0,5.4
"424",120,1,14,0,0,0,0,0,0,0,0,0,0,360,0,0,"2",0,1,0,0,1680,0,4,0,6.6
"425",90,0,17,1,0,0,0,0,0,0,1700000,1.53e+08,0,180,3400000,0,"6",0,0,1700000,1700000,1530,0,1,0,5.4
"426",90,1,16,1,0,0,0,0,0,0,8e+06,7.2e+08,0,180,1.6e+07,0,"9",0,0,8e+06,8e+06,1440,0,1,0,6.8
"427",120,1,34,1,0,0,0,0,0,0,1.2e+07,1.44e+09,0,360,3.6e+07,0,"9",0,0,1.2e+07,4.8e+07,4080,0,4,0,7
"428",150,1,17,1,0,0,0,0,0,0,0,0,0,450,0,0,"4",0,1,0,0,2550,0,2,0,6.8
"429",90,1,18,1,0,0,0,0,0,0,0,0,0,270,0,0,"11",0,1,0,0,1620,0,4,0,7.6
"430",90,0,59,0,0,0,1,0,0,0,5.3e+07,4.77e+09,0,180,1.06e+08,0,"3",0,0,0,1.06e+08,5310,0,2,0,5.6
"431",90,1,9,0,0,0,1,0,0,0,0,0,0,180,0,0,"1",0,0,0,0,810,0,1,0,6.4
"432",60,0,16,0,0,0,1,1,0,0,1.8e+07,1.08e+09,0,120,3.6e+07,0,"7",0,0,0,1.8e+07,960,0,1,0,6.2
"433",90,0,5,0,0,0,1,0,0,0,0,0,0,90,0,0,"6",0,0,0,0,450,0,1,0,6.1
"434",60,1,21,0,0,0,0,0,0,0,1.7e+07,1.02e+09,0,180,5.1e+07,0,"1",0,0,0,1.7e+07,1260,0,1,0,5.5
"435",90,1,48,1,0,0,0,0,0,0,0,0,0,270,0,0,"7",0,0,0,0,4320,0,2,0,7.9
"436",90,1,39,0,0,0,1,0,0,0,0,0,0,270,0,0,"2",0,0,0,0,3510,0,1,0,7.3
"437",60,0,20,0,0,0,0,1,0,1,2.5e+07,1.5e+09,1,180,7.5e+07,0,"11",0,0,0,5e+07,1200,0,2,0,8.1
"438",60,0,13,0,0,0,0,1,0,1,0,0,1,180,0,0,"11",0,0,0,0,780,0,1,0,6
"439",60,0,15,0,0,0,1,0,0,1,1.2e+07,7.2e+08,0,180,3.6e+07,0,"12",0,0,0,2.4e+07,900,0,2,0,6.7
"440",90,1,15,0,0,0,1,1,0,0,1.4e+07,1.26e+09,0,270,4.2e+07,0,"2",0,0,0,1.4e+07,1350,0,1,0,6.3
"441",120,1,15,0,0,0,0,0,0,0,0,0,0,360,0,0,"3",0,0,0,0,1800,1,3,0,8.1
"442",120,1,18,0,0,0,0,0,0,0,16500000,1.98e+09,1,360,49500000,0,"3",0,0,0,3.3e+07,2160,1,2,0,7.1
"443",60,1,35,0,0,0,0,0,0,0,0,0,0,120,0,0,"1",0,0,0,0,2100,0,2,0,6
"444",90,0,11,0,0,0,1,0,0,0,4.8e+07,4.32e+09,1,270,1.44e+08,0,"10",0,0,0,1.44e+08,990,0,3,0,5.9
"445",90,0,10,0,0,0,1,0,0,0,0,0,0,270,0,0,"10",0,0,0,0,900,0,1,0,7
"446",90,0,15,0,0,0,0,1,0,0,2e+07,1.8e+09,1,270,6e+07,0,"10",0,0,0,2e+07,1350,0,1,0,7
"447",90,0,71,0,0,0,1,1,0,0,8e+07,7.2e+09,0,270,2.4e+08,0,"12",0,0,0,8e+07,6390,0,1,0,6.1
"448",90,0,11,0,0,0,1,0,0,0,0,0,0,90,0,0,"1",0,0,0,0,990,0,1,0,6.9
"449",90,0,26,0,0,0,1,0,0,0,17500000,1.575e+09,0,90,17500000,0,"8",0,0,0,3.5e+07,2340,0,2,0,6.3
"450",60,1,15,0,0,0,1,1,0,0,0,0,0,180,0,0,"4",0,0,0,0,900,0,1,0,5.4
"451",90,0,28,0,0,0,1,0,0,0,1.5e+07,1.35e+09,1,180,3e+07,0,"2",0,0,0,1.5e+07,2520,0,1,0,7.4
"452",90,1,17,0,0,0,0,0,0,0,3e+06,2.7e+08,0,180,6e+06,0,"4",0,0,0,9e+06,1530,0,3,0,8
"453",120,1,14,0,0,0,0,0,0,0,0,0,0,240,0,0,"9",0,0,0,0,1680,1,2,0,7.3
"454",90,1,27,0,0,0,0,0,0,0,2500000,2.25e+08,0,180,5e+06,0,"1",0,0,0,7500000,2430,0,3,0,8.1
"455",60,1,10,0,0,0,0,0,0,0,2700000,1.62e+08,0,120,5400000,0,"2",0,0,0,5400000,600,0,2,0,8.1
"456",90,1,26,0,0,0,0,0,0,0,0,0,1,180,0,0,"6",0,1,0,0,2340,0,3,0,8
"457",90,1,31,0,0,0,1,0,0,0,3200000,2.88e+08,0,270,9600000,0,"9",0,0,0,6400000,2790,0,2,0,7.2
"458",90,1,19,1,0,0,0,0,0,0,4e+07,3.6e+09,0,270,1.2e+08,0,"11",0,1,4e+07,1.6e+08,1710,0,4,4e+07,6.4
"459",90,1,108,0,0,0,0,0,0,0,2.3e+07,2.07e+09,0,270,6.9e+07,0,"5",0,0,0,2.3e+07,9720,1,1,0,7.1
"460",90,0,10,0,0,1,1,0,0,0,0,0,0,270,0,0,"10",0,0,0,0,900,0,1,0,6.8
"461",60,0,10,0,1,0,0,0,0,0,0,0,0,60,0,0,"10",0,0,0,0,600,0,1,0,7.8
"462",90,1,17,0,0,0,1,0,0,0,1.3e+07,1.17e+09,0,270,3.9e+07,0,"9",0,0,0,2.6e+07,1530,0,2,0,7.8
"463",90,0,10,0,0,0,1,0,0,0,0,0,0,270,0,0,"12",0,0,0,0,900,0,2,0,6.9
"464",90,1,19,0,0,0,0,0,0,0,0,0,1,90,0,0,"5",0,0,0,0,1710,0,3,0,7.8
"465",90,0,6,0,0,0,1,1,0,1,0,0,0,270,0,0,"2",0,0,0,0,540,0,1,0,5.4
"466",150,1,9,0,0,1,0,0,0,0,0,0,1,450,0,0,"10",0,0,0,0,1350,0,1,0,5.8
"467",90,0,12,0,0,1,0,0,0,0,0,0,0,270,0,0,"10",0,0,0,0,1080,0,1,0,6.2
"468",210,1,57,0,0,0,0,0,0,0,1.5e+07,3.15e+09,0,420,3e+07,0,"12",0,0,0,1.5e+07,11970,0,1,0,8.2
"469",120,1,14,0,0,0,0,0,0,0,3900000,4.68e+08,0,360,11700000,0,"12",0,0,0,3900000,1680,0,1,0,8.1
"470",90,1,13,0,0,0,1,0,0,0,3500000,3.15e+08,1,270,10500000,0,"4",0,0,0,7e+06,1170,0,2,0,6.7
"471",120,1,17,0,0,0,0,0,0,0,7345000,881400000,0,360,22035000,0,"4",0,1,0,7345000,2040,0,1,7345000,7
"472",90,0,16,1,0,0,0,0,0,0,3e+06,2.7e+08,0,270,9e+06,0,"5",0,0,3e+06,3e+06,1440,0,1,0,6.1
"473",90,1,27,0,0,0,1,0,0,0,0,0,0,270,0,0,"4",0,0,0,0,2430,0,1,0,7.2
"474",90,1,9,0,0,0,0,0,0,0,0,0,0,270,0,0,"11",0,0,0,0,810,0,1,0,7.3
"475",90,0,30,1,0,0,0,0,0,1,7e+07,6.3e+09,0,270,2.1e+08,0,"11",0,0,7e+07,7e+07,2700,0,1,0,6.3
"476",60,1,13,0,0,0,0,0,1,0,0,0,1,180,0,0,"5",0,0,0,0,780,0,1,0,6.9
"477",90,1,18,0,0,0,1,0,0,0,0,0,0,270,0,0,"4",0,0,0,0,1620,0,1,0,6.8
"478",90,0,7,0,0,0,1,0,0,0,0,0,0,180,0,0,"2",1,0,0,0,630,0,1,0,6.1
"479",120,1,23,0,0,0,0,0,0,0,0,0,0,120,0,0,"7",0,0,0,0,2760,0,0,0,7.2
"480",90,1,9,0,0,0,1,0,0,0,0,0,0,270,0,0,"12",0,0,0,0,810,0,1,0,5.3
"481",90,0,18,0,0,0,1,0,0,0,0,0,0,90,0,0,"9",0,0,0,0,1620,0,1,0,7.5
"482",60,0,10,0,0,0,1,1,0,0,0,0,0,120,0,0,"3",0,0,0,0,600,0,1,0,6.3
"483",90,0,16,0,0,0,1,0,0,0,0,0,0,180,0,0,"10",0,0,0,0,1440,0,2,0,7.3
"484",90,0,18,1,0,0,1,0,0,0,1.5e+07,1.35e+09,0,270,4.5e+07,0,"11",0,0,1.5e+07,1.5e+07,1620,0,1,0,7.3
"485",90,0,27,1,0,0,1,0,0,0,2e+07,1.8e+09,0,270,6e+07,0,"5",0,0,2e+07,2e+07,2430,0,1,0,6.4
"486",90,0,23,1,0,0,1,0,0,0,5e+07,4.5e+09,0,270,1.5e+08,0,"5",0,0,5e+07,5e+07,2070,0,1,0,5.4
"487",90,1,35,0,0,0,0,0,0,0,2.5e+07,2.25e+09,0,270,7.5e+07,0,"2",0,0,0,2.5e+07,3150,0,1,0,5.8
"488",60,1,16,0,0,0,0,0,1,0,0,0,0,180,0,0,"9",0,0,0,0,960,0,1,0,7
"489",120,1,50,0,0,0,0,0,0,0,3.5e+07,4.2e+09,1,360,1.05e+08,0,"10",0,0,0,1.75e+08,6000,0,5,0,6.4
"490",90,1,13,0,0,0,0,0,1,0,0,0,1,270,0,0,"10",0,0,0,0,1170,0,1,0,7.2
"491",90,0,15,0,1,0,0,0,0,0,2050000,184500000,0,270,6150000,0,"10",0,0,0,2050000,1350,1,1,0,7.6
"492",60,1,11,0,0,0,0,0,0,0,0,0,0,60,0,0,"5",0,0,0,0,660,0,0,0,7.9
"493",90,1,8,0,0,0,0,0,0,0,2.3e+07,2.07e+09,0,270,6.9e+07,0,"12",0,0,0,2.3e+07,720,1,1,0,6.7
"494",120,1,17,0,0,0,0,0,0,0,1e+08,1.2e+10,0,360,3e+08,0,"12",0,0,0,1e+08,2040,0,1,0,6.7
"495",90,0,14,0,0,0,1,0,0,0,1.1e+07,9.9e+08,0,90,1.1e+07,0,"1",0,0,0,1.1e+07,1260,0,1,0,7.1
"496",90,1,15,0,0,0,1,0,0,0,1.8e+07,1.62e+09,0,270,5.4e+07,0,"6",0,0,0,1.8e+07,1350,0,1,0,7.3
"497",90,1,20,0,0,0,1,0,0,0,34200000,3.078e+09,0,180,68400000,0,"6",0,0,0,68400000,1800,0,2,0,6.4
"498",60,0,19,0,0,0,1,1,0,0,1.5e+07,9e+08,0,180,4.5e+07,0,"2",0,0,0,4.5e+07,1140,0,3,0,5.4
"499",90,1,24,1,0,0,0,0,0,0,0,0,0,270,0,0,"5",0,0,0,0,2160,0,2,0,7.1
"500",90,1,14,1,0,0,0,0,0,0,0,0,0,270,0,0,"8",0,0,0,0,1260,0,1,0,5.2
"501",90,0,6,1,0,0,1,0,0,0,3e+07,2.7e+09,0,270,9e+07,0,"5",0,0,3e+07,3e+07,540,0,1,0,5
"502",60,0,19,0,0,0,1,0,0,0,0,0,0,180,0,0,"12",0,0,0,0,1140,0,1,0,6.9
"503",90,0,16,1,0,0,1,0,0,0,0,0,0,180,0,0,"6",0,0,0,0,1440,0,1,0,6.2
"504",60,0,33,0,0,0,1,0,0,0,4e+07,2.4e+09,0,180,1.2e+08,0,"4",0,0,0,4e+07,1980,0,1,0,6.5
"505",90,0,46,1,0,0,1,0,0,0,2.5e+07,2.25e+09,0,270,7.5e+07,0,"5",0,0,2.5e+07,5e+07,4140,0,2,0,7.3
"506",120,1,11,0,0,0,1,0,0,0,1.1e+07,1.32e+09,0,360,3.3e+07,0,"5",0,0,0,1.1e+07,1320,0,1,0,7.3
"507",90,0,33,0,0,0,1,0,0,0,0,0,0,270,0,0,"7",0,0,0,0,2970,0,1,0,6.1
"508",90,0,22,0,0,0,1,0,0,0,1e+07,9e+08,0,270,3e+07,0,"2",0,0,0,4e+07,1980,0,4,0,6.9
"509",120,1,12,0,0,0,1,0,0,0,5750000,6.9e+08,0,240,11500000,0,"2",0,0,0,5750000,1440,0,1,0,6
"510",90,1,15,0,0,0,0,0,0,0,0,0,0,270,0,0,"11",0,0,0,0,1350,0,1,0,7.9
"511",90,1,17,0,0,0,1,0,0,0,5e+06,4.5e+08,0,270,1.5e+07,0,"5",0,0,0,5e+06,1530,0,1,0,7.7
"512",90,0,10,0,0,0,1,0,0,0,0,0,0,180,0,0,"7",0,0,0,0,900,0,1,0,7.2
"513",150,1,17,0,0,0,0,0,0,0,0,0,0,450,0,0,"7",0,0,0,0,2550,1,1,0,7.2
"514",90,0,13,1,0,0,1,0,0,0,2e+07,1.8e+09,0,180,4e+07,0,"5",0,0,2e+07,2e+07,1170,0,1,0,5.8
